YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2023,01,JAN,LOWW,Vienna,Austria,7711,7708,158,7550,35139.6,11182.4,
2023,01,JAN,EBBR,Brussels,Belgium,6572,6477,328,6149,27096.4,7503.6,
2023,01,JAN,EBCI,Charleroi,Belgium,2373,2370,2,2368,9238,2190,
2023,01,JAN,LBSF,Sofia,Bulgaria,2211,2165,65,2100,6926.4000000000005,2766.6,
2023,01,JAN,LDZA,Zagreb,Croatia,1623,1620,60,1560,4839.2,1919.8,
2023,01,JAN,LKPR,Prague,Czech Republic,3198,3173,67,3106,13121.5,4291.5,
2023,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,7700,7698,584,7114,29203.9016666667,9240.215,
2023,01,JAN,EETN,Tallinn,Estonia,1319,1273,77,1196,3649,1888,
2023,01,JAN,EFHK,Helsinki - Vantaa,Finland,5750,5689,711,4978,18905.325,6955.091666666666,
2023,01,JAN,LFBO,Toulouse-Blagnac,France,2662,2661,96,2565,7829.6,2910.4,
2023,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3112,3095,144,2951,11794.6,3763.4,
2023,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2023,01,JAN,LFMN,Nice-Côte d’Azur,France,3757,3749,419,3330,9730.800000000001,2992.2000000000003,
2023,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,16797,16723,1607,15116,112978.2,30250.583333333303,
2023,01,JAN,LFPO,Paris-Orly,France,7436,7432,326,7106,29995,15073,
2023,01,JAN,LFSB,Bâle-Mulhouse,France,2347,2322,38,2284,6790,1213,
2023,01,JAN,EDDB,Berlin - Brandenburg,Germany,5530,5525,298,5227,21799.875,5828.2249999999995,
2023,01,JAN,EDDC,Dresden,Germany,378,377,22,355,1133,321,
2023,01,JAN,EDDE,Erfurt,Germany,103,65,12,53,158,79,
2023,01,JAN,EDDF,Frankfurt,Germany,14831,14831,1141,13690,94632.9783333333,35272.955,
2023,01,JAN,EDDG,Muenster-Osnabrueck,Germany,597,528,55,473,604.8716666666671,419.345,
2023,01,JAN,EDDH,Hamburg,Germany,3643,3562,252,3310,11875.175,3881.675,
2023,01,JAN,EDDK,Cologne-Bonn,Germany,3731,3642,597,3045,14567.800000000001,5138.533333333333,
2023,01,JAN,EDDL,Dusseldorf,Germany,4384,4381,224,4157,12643.483333333299,3799.7666666666664,
2023,01,JAN,EDDM,Munich,Germany,10167,10075,200,9875,41360.5,13375.5,
2023,01,JAN,EDDN,Nuremberg,Germany,1499,1158,66,1092,3026.768333333333,949.4816666666671,
2023,01,JAN,EDDP,Leipzig-Halle,Germany,3082,2956,582,2374,9424.443333333335,4420.323333333333,
2023,01,JAN,EDDR,Saarbruecken,Germany,115,114,9,105,390,93,
2023,01,JAN,EDDS,Stuttgart,Germany,2702,2430,75,2355,7774.166666666666,3204.799999999999,
2023,01,JAN,EDDV,Hanover,Germany,1694,1456,209,1247,4785.344999999999,1825.1716666666662,
2023,01,JAN,EDDW,Bremen,Germany,880,708,101,607,1469.666666666666,729.2833333333331,
2023,01,JAN,LGAV,Athens,Greece,6851,6830,456,6374,20835,14803,
2023,01,JAN,LHBP,Budapest - Ferihegy,Hungary,3620,3612,227,3385,11361.4966666667,4630.7699999999995,
2023,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2023,01,JAN,EICK,Cork,Ireland,1404,1114,18,1096,2201,874,
2023,01,JAN,EIDW,Dublin,Ireland,8485,8446,186,8260,46795.700000000004,14797.300000000001,
2023,01,JAN,LICC,Catania,Italy,2312,2312,8,2304,8131.6,3243.4,
2023,01,JAN,LIMC,Milan - Malpensa,Italy,6801,6790,82,6708,33739.2,17052.3166666667,
2023,01,JAN,LIME,Bergamo,Italy,3831,3830,73,3757,10789.7,6742.3,
2023,01,JAN,LIMF,Torino Caselle,Italy,1743,1740,28,1712,5868,4782,
2023,01,JAN,LIML,Milan - Linate,Italy,4156,4104,6,4098,12019,5837,
2023,01,JAN,LIPE,Bologna,Italy,2322,2321,142,2179,5683.541666666666,4187.791666666666,
2023,01,JAN,LIPZ,Venice,Italy,2552,2547,31,2516,11270,2710,
2023,01,JAN,LIRA,Rome - Ciampino,Italy,1584,1582,697,885,4261,1984,
2023,01,JAN,LIRF,Rome - Fiumicino,Italy,8449,8443,371,8072,55927.700000000004,23456.3,
2023,01,JAN,LIRN,Naples,Italy,2379,2371,5,2366,9057,3285,
2023,01,JAN,EVRA,Riga,Latvia,2092,2088,71,2017,5765,2579,
2023,01,JAN,ELLX,Luxembourg,Luxembourg,2712,2481,22,2459,8561.3,3839.7000000000003,
2023,01,JAN,LMML,Malta,Malta,1939,1917,93,1824,4672,2253,
2023,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2023,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2023,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,15776,15545,1835,13710,98762.6733333333,26771.026666666698,
2023,01,JAN,ENBR,Bergen,Norway,,,,,,,NO DATA RECEIVED
2023,01,JAN,ENGM,Oslo - Gardermoen,Norway,7686,7399,152,7247,24188.5,13118,
2023,01,JAN,ENVA,Trondheim,Norway,,,,,,,NO DATA RECEIVED
2023,01,JAN,ENZV,Stavanger,Norway,,,,,,,NO DATA RECEIVED
2023,01,JAN,EPWA,Warszawa - Chopina,Poland,5767,5733,396,5337,16798.1433333333,6313.5233333333335,
2023,01,JAN,LPFR,Faro,Portugal,1156,1156,11,1145,3504.396666666666,1040.236666666666,
2023,01,JAN,LPPR,Porto,Portugal,3360,3360,22,3338,13436.626666666702,3999.123333333333,
2023,01,JAN,LPPT,Lisbon,Portugal,8548,8537,51,8486,37741.488333333305,12395.778333333301,
2023,01,JAN,LROP,Bucharest - Otopeni,Romania,4059,3876,14,3862,16845.3,5873.7,
2023,01,JAN,LZIB,Bratislava,Slovakia,642,607,36,571,2643,335,
2023,01,JAN,LJLJ,Ljubljana,Slovenia,717,648,42,606,1490.2666666666662,914.7833333333331,
2023,01,JAN,GCFV,Fuerteventura,Spain,1873,1869,46,1823,4888.0566666666655,1730.2266666666662,
2023,01,JAN,GCLP,Gran Canaria,Spain,5292,5284,249,5035,6423.191666666666,6469.008333333333,
2023,01,JAN,GCRR,Lanzarote,Spain,2668,2662,21,2641,4638.238333333333,2310.744999999999,
2023,01,JAN,GCTS,Tenerife Sur - Reina Sofia,Spain,3573,3567,96,3471,10261.0233333333,3352.81,
2023,01,JAN,GCXO,Tenerife North,Spain,2608,2595,104,2491,4066.9716666666664,3263.628333333333,
2023,01,JAN,LEAL,Alicante,Spain,2703,2702,207,2495,7309.591666666666,3169.674999999999,
2023,01,JAN,LEBB,Bilbao,Spain,1503,1502,26,1476,3646.6200000000003,1892.0466666666662,
2023,01,JAN,LEBL,Barcelona,Spain,10353,10352,726,9626,24150.973333333302,9006.560000000001,
2023,01,JAN,LEIB,Ibiza,Spain,1288,1286,94,1192,2148.496666666666,1068.92,
2023,01,JAN,LEMD,Madrid - Barajas,Spain,14940,14940,1259,13681,82318.9483333333,23206.1683333333,
2023,01,JAN,LEMG,Málaga,Spain,4443,4285,390,3895,10749.285,4964.514999999999,
2023,01,JAN,LEPA,Palma de Mallorca,Spain,4103,4099,373,3726,10203.788333333301,3432.428333333333,
2023,01,JAN,LEVC,Valencia,Spain,2549,2548,282,2266,7468.971666666666,2625.178333333333,
2023,01,JAN,LEZL,Sevilla,Spain,2314,2309,200,2109,2963.205,3175.2616666666663,
2023,01,JAN,ESGG,Göteborg,Sweden,1834,1830,98,1732,5035,2407,
2023,01,JAN,ESSA,Stockholm - Arlanda,Sweden,6762,6762,603,6159,29635.351666666702,8714.798333333334,
2023,01,JAN,LSGG,Geneva,Switzerland,6772,6769,104,6665,22461.536666666696,7762.113333333333,
2023,01,JAN,LSZH,Zürich,Switzerland,8487,8389,532,7857,32169.71,10304.49,
2023,01,JAN,LTFM,Istanbul,Türkiye,19426,19423,2302,17121,166574,64100,
2023,01,JAN,EGBB,Birmingham,United Kingdom,2926,2918,94,2824,9569.783333333335,3863.749999999999,
2023,01,JAN,EGCC,Manchester,United Kingdom,,,,,,,NO DATA RECEIVED
2023,01,JAN,EGGD,Bristol,United Kingdom,2076,1991,18,1973,6338,3866,
2023,01,JAN,EGGW,London - Luton,United Kingdom,4267,4254,22,4232,15807,8434,
2023,01,JAN,EGKK,London - Gatwick,United Kingdom,7769,7768,171,7597,44503.9,11395.1,
2023,01,JAN,EGLC,London - City,United Kingdom,2014,2014,19,1995,4053,2854,
2023,01,JAN,EGLL,London - Heathrow,United Kingdom,17551,17550,292,17258,96694.40000000001,69179.6,
2023,01,JAN,EGNT,Newcastle,United Kingdom,1336,1090,18,1072,2495,2063,
2023,01,JAN,EGPD,Aberdeen,United Kingdom,1584,1578,81,1497,3350,2542.5,
2023,01,JAN,EGPF,Glasgow,United Kingdom,2199,2168,50,2118,5915.3,3622.7000000000003,
2023,01,JAN,EGPH,Edinburgh,United Kingdom,3807,3801,37,3764,15931.6,7761.4000000000005,
2023,01,JAN,EGSS,London - Stansted,United Kingdom,6909,6881,206,6675,32648.5,12166.5,
2023,02,FEB,LOWW,Vienna,Austria,6933,6931,168,6763,30733.100000000002,8689.9,
2023,02,FEB,EBBR,Brussels,Belgium,6326,6224,287,5937,25872.8,6569.2,
2023,02,FEB,EBCI,Charleroi,Belgium,2536,2536,7,2529,9406.6,1872.4,
2023,02,FEB,LBSF,Sofia,Bulgaria,1965,1918,33,1885,5902.9000000000005,2283.1,
2023,02,FEB,LDZA,Zagreb,Croatia,1450,1446,71,1375,4189,1525,
2023,02,FEB,LKPR,Prague,Czech Republic,3132,3108,91,3017,12302.2,3662.8,
2023,02,FEB,EKCH,Copenhagen - Kastrup,Denmark,7537,7531,499,7032,28490.545,9286.088333333335,
2023,02,FEB,EETN,Tallinn,Estonia,1246,1210,85,1125,3391,1564,
2023,02,FEB,EFHK,Helsinki - Vantaa,Finland,5281,5211,998,4213,16870.3233333333,5897.293333333333,
2023,02,FEB,LFBO,Toulouse-Blagnac,France,2537,2536,94,2442,7414,2546,
2023,02,FEB,LFLL,Lyon-Saint-Exupéry,France,3326,3290,161,3129,12720.2,3904.8,
2023,02,FEB,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2023,02,FEB,LFMN,Nice-Côte d’Azur,France,3852,3841,325,3516,10305,3148,
2023,02,FEB,LFPG,Paris-Charles-de-Gaulle,France,15491,15490,1409,14081,102190.7,26824.3,
2023,02,FEB,LFPO,Paris-Orly,France,7301,7301,142,7159,30845.4,15400.6,
2023,02,FEB,LFSB,Bâle-Mulhouse,France,2507,2445,40,2405,7166.2,1110.8,
2023,02,FEB,EDDB,Berlin - Brandenburg,Germany,5674,5672,317,5355,22247.309999999998,5894.456666666666,
2023,02,FEB,EDDC,Dresden,Germany,364,361,15,346,1130.5,305.5,
2023,02,FEB,EDDE,Erfurt,Germany,241,158,43,115,339,141,
2023,02,FEB,EDDF,Frankfurt,Germany,13588,13586,949,12637,86794.55166666671,29654.364999999998,
2023,02,FEB,EDDG,Muenster-Osnabrueck,Germany,679,559,54,505,588.23,505.08666666666704,
2023,02,FEB,EDDH,Hamburg,Germany,3565,3494,450,3044,11109.973333333299,3444.493333333333,
2023,02,FEB,EDDK,Cologne-Bonn,Germany,3508,3391,426,2965,13495.484999999999,4382.631666666666,
2023,02,FEB,EDDL,Dusseldorf,Germany,4244,4239,234,4005,12258.813333333299,3433.9033333333327,
2023,02,FEB,EDDM,Munich,Germany,9865,9764,236,9528,38838.6,13397.4,
2023,02,FEB,EDDN,Nuremberg,Germany,1696,1247,99,1148,3300.118333333333,727.331666666667,
2023,02,FEB,EDDP,Leipzig-Halle,Germany,2930,2799,627,2172,8764.505,4234.178333333333,
2023,02,FEB,EDDR,Saarbruecken,Germany,139,137,8,129,488.3,154.70000000000002,
2023,02,FEB,EDDS,Stuttgart,Germany,2819,2481,93,2388,8392.324999999999,3390.2416666666663,
2023,02,FEB,EDDV,Hanover,Germany,1846,1545,287,1258,4784.035,1944.815,
2023,02,FEB,EDDW,Bremen,Germany,1182,798,90,708,1701.2666666666662,828.7166666666672,
2023,02,FEB,LGAV,Athens,Greece,6174,6154,301,5853,19242.8,12960.2,
2023,02,FEB,LHBP,Budapest - Ferihegy,Hungary,3293,3285,234,3051,9733.863333333335,3803.019999999999,
2023,02,FEB,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2023,02,FEB,EICK,Cork,Ireland,1383,1094,33,1061,2109,849,
2023,02,FEB,EIDW,Dublin,Ireland,7854,7822,671,7151,38942.6,11749.4,
2023,02,FEB,LICC,Catania,Italy,2012,2012,0,2012,7068,2967,
2023,02,FEB,LIMC,Milan - Malpensa,Italy,6676,6663,149,6514,32779.5,20289.5,
2023,02,FEB,LIME,Bergamo,Italy,3389,3378,109,3269,9752,5760,
2023,02,FEB,LIMF,Torino Caselle,Italy,1658,1644,36,1608,5532,4410,
2023,02,FEB,LIML,Milan - Linate,Italy,3955,3894,24,3870,11590,5094,
2023,02,FEB,LIPE,Bologna,Italy,2119,2119,148,1971,5150.8499999999995,3578.099999999999,
2023,02,FEB,LIPZ,Venice,Italy,2458,2457,15,2442,10934,3324,
2023,02,FEB,LIRA,Rome - Ciampino,Italy,1449,1448,420,1028,4987,2560,
2023,02,FEB,LIRF,Rome - Fiumicino,Italy,7918,7911,261,7650,52957,22892,
2023,02,FEB,LIRN,Naples,Italy,2286,2283,7,2276,8648,3623,
2023,02,FEB,EVRA,Riga,Latvia,1803,1800,62,1738,4790.8,1943.2,
