YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2021,01,JAN,LOWW,Vienna,Austria,2262,2261,196,2065,9367.6,2593.4,
2021,01,JAN,EBBR,Brussels,Belgium,2838,2753,310,2443,9519.6,3643.4,
2021,01,JAN,EBCI,Charleroi,Belgium,801,799,16,783,3002,591,
2021,01,JAN,LBSF,Sofia,Bulgaria,1044,1042,51,991,3315.2000000000003,1398.8,
2021,01,JAN,LDZA,Zagreb,Croatia,698,698,120,578,1772.1000000000001,671.9,
2021,01,JAN,LKPR,Prague,Czech Republic,1082,1073,57,1016,4484,1973,
2021,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,2052,2051,595,1456,5650.701666666666,2479.998333333333,
2021,01,JAN,EETN,Tallinn,Estonia,475,443,64,379,1335,535,
2021,01,JAN,EFHK,Helsinki - Vantaa,Finland,1967,1944,773,1171,4346.6050000000005,1977.1616666666662,
2021,01,JAN,LFBO,Toulouse-Blagnac,France,1137,1135,137,998,2653,1320,
2021,01,JAN,LFLL,Lyon-Saint-Exupéry,France,1576,1574,436,1138,4044,1185,
2021,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2021,01,JAN,LFMN,Nice-Côte d’Azur,France,1889,1861,420,1441,4602.3,2824.7000000000003,
2021,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,7083,7080,2222,4858,34757,9728,
2021,01,JAN,LFPO,Paris-Orly,France,3506,3506,413,3093,13535.2,5143.8,
2021,01,JAN,LFSB,Bâle-Mulhouse,France,1227,1187,41,1146,2946,990,
2021,01,JAN,EDDB,Berlin - Brandenburg,Germany,1971,1970,843,1127,4183.241666666666,1642.775,
2021,01,JAN,EDDC,Dresden,Germany,93,92,21,71,223.5,114.5,
2021,01,JAN,EDDE,Erfurt,Germany,116,78,17,61,207,172,
2021,01,JAN,EDDF,Frankfurt,Germany,6578,6578,789,5789,33877.7116666667,13453.9883333333,
2021,01,JAN,EDDG,Muenster-Osnabrueck,Germany,181,24,3,21,73,20,
2021,01,JAN,EDDH,Hamburg,Germany,1228,1208,162,1046,3275.63,1692.1533333333332,
2021,01,JAN,EDDK,Cologne-Bonn,Germany,2143,2131,399,1732,7769.333333333333,3115.433333333333,
2021,01,JAN,EDDL,Dusseldorf,Germany,1345,1344,160,1184,3224.436666666666,1410.43,
2021,01,JAN,EDDM,Munich,Germany,2450,2448,151,2297,9821,4587,
2021,01,JAN,EDDN,Nuremberg,Germany,504,358,42,316,1102.4849999999992,149.048333333333,
2021,01,JAN,EDDP,Leipzig-Halle,Germany,2482,2477,505,1972,8143.963333333333,4450.303333333333,
2021,01,JAN,EDDR,Saarbruecken,Germany,78,77,5,72,272,48,
2021,01,JAN,EDDS,Stuttgart,Germany,1148,1042,129,913,2562.058333333333,1521.4416666666662,
2021,01,JAN,EDDV,Hanover,Germany,,,,,,,NO DATA RECEIVED
2021,01,JAN,EDDW,Bremen,Germany,391,277,52,225,467.745,262.73833333333306,
2021,01,JAN,LGAV,Athens,Greece,2796,2796,660,2136,5365.02,3242.379999999999,
2021,01,JAN,LHBP,Budapest - Ferihegy,Hungary,873,869,341,528,1778.116666666666,868.85,
2021,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2021,01,JAN,EICK,Cork,Ireland,1072,661,10,651,710,602,
2021,01,JAN,EIDW,Dublin,Ireland,1983,1982,485,1497,7790.6,2642.4,
2021,01,JAN,LICC,Catania,Italy,876,874,2,872,2619,984,
2021,01,JAN,LIMC,Milan - Malpensa,Italy,2607,2591,289,2302,12574.4,4414.6,
2021,01,JAN,LIME,Bergamo,Italy,746,746,9,737,2244.2000000000003,931.8000000000001,
2021,01,JAN,LIMF,Torino Caselle,Italy,584,575,22,553,2054,1459,
2021,01,JAN,LIML,Milan - Linate,Italy,1218,1185,32,1153,3169,1588,
2021,01,JAN,LIPE,Bologna,Italy,,,,,,,NO DATA RECEIVED
2021,01,JAN,LIPZ,Venice,Italy,635,634,1,633,2784,575,
2021,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,NO DATA RECEIVED
2021,01,JAN,LIRF,Rome - Fiumicino,Italy,2413,2412,516,1896,9987.2,6013.8,
2021,01,JAN,LIRN,Naples,Italy,482,462,35,427,1317,477,
