YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2018,01,JAN,LOWW,Vienna,Austria,8424,8418,217,8201,41520.5,11763.1,
2018,01,JAN,EBBR,Brussels,Belgium,8522,8421,432,7989,33126,8581,
2018,01,JAN,EBCI,Charleroi,Belgium,2195,2185,25,2160,9664.5,1697.5,
2018,01,JAN,LBSF,Sofia,Bulgaria,2167,2166,91,2075,7304,2198,
2018,01,JAN,LDZA,Zagreb,Croatia,1517,1515,197,1318,4773.7,1701.3,
2018,01,JAN,LKPR,Prague,Czech Republic,4950,4946,152,4794,18385.2,6381.8,
2018,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9442,9442,797,8645,34566.0433333333,12086.890000000001,
2018,01,JAN,EETN,Tallinn,Estonia,1613,1561,73,1488,5146.9000000000005,2382.1,
2018,01,JAN,EFHK,Helsinki - Vantaa,Finland,7748,7699,1121,6578,25330.793333333302,10714.04,
2018,01,JAN,LFBO,Toulouse-Blagnac,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4181,4172,114,4058,14958.6,5993.4000000000005,
2018,01,JAN,LFML,Marseille-Provence,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFMN,Nice-Côte d’Azur,France,4120,4042,673,3369,9090,3480,
2018,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,18507,18506,1078,17428,128467.2,34434.7166666667,
2018,01,JAN,LFPO,Paris-Orly,France,8787,8785,437,8348,35046.6,19858.4,
2018,01,JAN,LFSB,Bâle-Mulhouse,France,,,,,,,DATA ISSUE
2018,01,JAN,EDDB,Berlin - Brandenburg,Germany,3681,3678,260,3418,16388.898333333298,6585.668333333333,
2018,01,JAN,EDDC,Dresden,Germany,,,,,,,NO DATA RECEIVED
2018,01,JAN,EDDE,Erfurt,Germany,155,125,15,110,384,115,
2018,01,JAN,EDDF,Frankfurt,Germany,18342,18342,1118,17224,124685.14999999989,45552.9333333333,
2018,01,JAN,EDDG,Muenster-Osnabrueck,Germany,1134,283,5,278,1062,274,
2018,01,JAN,EDDH,Hamburg,Germany,5344,5339,284,5055,16590.0916666667,7389.058333333333,
2018,01,JAN,EDDK,Cologne-Bonn,Germany,4871,4843,484,4359,20623.793333333302,5957.023333333333,
2018,01,JAN,EDDL,Dusseldorf,Germany,7402,7399,395,7004,22938.645,6305.754999999999,
2018,01,JAN,EDDM,Munich,Germany,15106,15095,416,14679,59202.66500000001,22333.335000000003,
2018,01,JAN,EDDN,Nuremberg,Germany,2085,1828,85,1743,4275.005,1558.311666666666,
2018,01,JAN,EDDP,Leipzig-Halle,Germany,2749,2733,345,2388,9546.58,3596.403333333333,
2018,01,JAN,EDDR,Saarbruecken,Germany,314,311,22,289,1061,175,
2018,01,JAN,EDDS,Stuttgart,Germany,4392,4219,158,4061,11797.3816666667,6093.101666666666,
2018,01,JAN,EDDV,Hanover,Germany,2303,2159,274,1885,6530.963333333333,2238.953333333333,
2018,01,JAN,EDDW,Bremen,Germany,1017,1015,46,969,2302.418333333333,1016.6483333333331,
2018,01,JAN,LGAV,Athens,Greece,6145,6145,555,5590,23391.9833333333,9728.316666666666,
2018,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4085,4078,244,3834,11319.2,5238.8,
2018,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2018,01,JAN,EICK,Cork,Ireland,706,697,25,672,1979.1000000000001,610.9,
2018,01,JAN,EIDW,Dublin,Ireland,8253,8252,391,7861,34734.2,13014.800000000001,
2018,01,JAN,LICC,Catania,Italy,2213,2213,10,2203,6778.8,2961.2000000000003,
2018,01,JAN,LIMC,Milan - Malpensa,Italy,6744,6736,232,6504,31128.600000000002,14892.4,
2018,01,JAN,LIME,Bergamo,Italy,3420,3412,12,3400,7886,6081,
2018,01,JAN,LIMF,Torino Caselle,Italy,1826,1815,31,1784,7635.3,4797.7,
2018,01,JAN,LIML,Milan - Linate,Italy,4349,4318,90,4228,11218,5735,
2018,01,JAN,LIPE,Bologna,Italy,2519,2519,60,2459,5376.158333333333,5705.041666666666,
2018,01,JAN,LIPZ,Venice,Italy,2678,2678,34,2644,10338,4237,
2018,01,JAN,LIRA,Rome - Ciampino,Italy,2077,2060,737,1323,6849.6,3950.4,
2018,01,JAN,LIRF,Rome - Fiumicino,Italy,10812,10806,365,10441,65237,34376,
2018,01,JAN,LIRN,Naples,Italy,2349,2310,2,2308,6200.6,3128.4,
2018,01,JAN,EVRA,Riga,Latvia,3019,3000,77,2923,10272.6,3317.6166666666663,
2018,01,JAN,ELLX,Luxembourg,Luxembourg,2967,2843,53,2790,8400.4,4643.683333333333,
2018,01,JAN,LMML,Malta,Malta,2097,2023,13,2010,8409,-8,
2018,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2018,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2018,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,19180,18980,1427,17553,129354.0883333333,37163.2116666667,
2018,01,JAN,ENBR,Bergen,Norway,,,,,,,DATA ISSUE
2018,01,JAN,ENGM,Oslo - Gardermoen,Norway,9007,8946,362,8584,25883.3,19073.7,
2018,01,JAN,ENVA,Trondheim,Norway,,,,,,,DATA ISSUE
2018,01,JAN,ENZV,Stavanger,Norway,,,,,,,DATA ISSUE
2018,01,JAN,EPWA,Warszawa - Chopina,Poland,6846,6829,1582,5247,14501.255,6989.761666666666,
2018,01,JAN,LPFR,Faro,Portugal,,,,,,,NO DATA RECEIVED
2018,01,JAN,LPPR,Porto,Portugal,3301,3297,39,3258,10829.378333333301,3659.788333333333,
2018,01,JAN,LPPT,Lisbon,Portugal,8088,8084,140,7944,26625.763333333303,10192.87,
2018,01,JAN,LROP,Bucharest - Otopeni,Romania,4272,191,10,181,181,99,
2018,01,JAN,LZIB,Bratislava,Slovakia,562,387,4,383,1043,505,
2018,01,JAN,LJLJ,Ljubljana,Slovenia,1189,1120,10,1110,3346.336666666666,677.7466666666671,
2018,01,JAN,GCFV,Fuerteventura,Spain,2077,2075,42,2033,5802.256666666666,1406.543333333333,
2018,01,JAN,GCLP,Gran Canaria,Spain,5612,5575,128,5447,8493.598333333333,5118.768333333333,
2018,01,JAN,GCRR,Lanzarote,Spain,2450,2424,23,2401,5696.59,2400.093333333333,
2018,01,JAN,GCTS,Tenerife Sur - Reina Sofia,Spain,3016,3016,200,2816,8435.48,4333.153333333333,
2018,01,JAN,GCXO,Tenerife North,Spain,2700,2691,43,2648,4916.674999999999,3080.174999999999,
2018,01,JAN,LEAL,Alicante,Spain,2677,2677,180,2497,7952.491666666666,3317.291666666666,
2018,01,JAN,LEBB,Bilbao,Spain,1553,1506,39,1467,3920.343333333333,2262.556666666666,
2018,01,JAN,LEBL,Barcelona,Spain,11193,11193,1063,10130,28299.25,9683.55,
2018,01,JAN,LEIB,Ibiza,Spain,1083,1057,42,1015,2200.8183333333327,1141.448333333333,
2018,01,JAN,LEMD,Madrid - Barajas,Spain,15666,15662,1361,14301,79880.80166666671,23625.265000000003,
2018,01,JAN,LEMG,Málaga,Spain,3813,3810,292,3518,10631.1016666667,4941.615,
2018,01,JAN,LEPA,Palma de Mallorca,Spain,3513,3511,487,3024,9303.055,7096.828333333333,
2018,01,JAN,LEVC,Valencia,Spain,2529,2456,219,2237,6937.026666666666,2992.6733333333327,
2018,01,JAN,LEZL,Sevilla,Spain,1969,1953,84,1869,3723.1616666666664,1666.5049999999992,
