YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2025,1,JAN,EBNM,Namur,Belgium,1,45.07612217109587,45.07612217109587,1580,1580,6000,0,0,11.5101,11.5101,2,57.71006061450566,57.71006061450566,1220,1220,6464.112903225806,0,0,-9.26205,-9.26205,Namur (EBNM)
2025,1,JAN,EBOS,Ostend/Bruges,Belgium,235,3468.558074239056,1736.7819783038292,49520,32260,4650.79365079365,36,57,31683.671078,22403.813421,247,1509.6689721801981,181.374439960921,15020,4000,33000,160,232,2284.5895,231.08544300000003,Ostend/Bruges (EBOS)
2025,1,JAN,EBSP,Spa,Belgium,2,24.31223980342443,24.31223980342443,620,620,7796.666666666668,1,1,-0.19529999999999711,-0.19529999999999711,2,4.22516198704104,4.22516198704104,80,80,15828.3333333333,1,1,-0.0367499999999996,-0.0367499999999996,Spa (EBSP)
2025,1,JAN,EBST,St Truiden,Belgium,3,15.09459231852007,5.595957326115849,260,120,3306.1224489795914,0,0,-0.0624754999999977,-1.294125,4,13.34203202891841,10.213458785366129,320,280,11511.0416666667,1,2,0.23992499999999992,1.03005,St Truiden (EBST)
2025,1,JAN,EBUL,Ursel,Belgium,1,0,0,0,0,3000,1,1,0,0,,,,,,,,,,,Ursel (EBUL)
2025,1,JAN,EDAB,Bautzen,Germany,3,16.098123914792748,10.079193664506871,260,200,3583.333333333333,1,1,23.96966999999999,15.53239499999999,5,13.2739380849532,13.2739380849532,300,300,28000,4,4,-1.33455,-1.33455,Bautzen (EDAB)
2025,1,JAN,EDAC,Leipzig Altenburg,Germany,6,90.49113781966851,90.49113781966851,1660,1660,3982.692307692308,1,1,52.81794199999998,52.81794199999998,9,68.90544244373304,55.58576120972112,1340,1140,14000,4,5,26.337433999999988,16.54145899999999,Leipzig Altenburg (EDAC)
2025,1,JAN,EDAD,Dessau,Germany,2,0,0,0,0,28000,2,2,0,0,2,0,0,0,0,24000,2,2,0,0,Dessau (EDAD)
2025,1,JAN,EDAE,Eisenhuttenstadt,Germany,1,4.13645479790186,0,60,0,9037.5,0,1,-0.2352000000000016,0,1,0,0,0,0,26000,1,1,0,0,Eisenhuttenstadt (EDAE)
2025,1,JAN,EDAH,Heringsdorf,Germany,23,933.301205509672,891.948151782896,26180,25360,2921.311475409836,0,0,97.18700249999998,99.81383499999998,12,56.57957973421507,49.94128726820058,1580,1500,4573.770491803279,8,9,11.17304999999999,5.2731,Heringsdorf (EDAH)
2025,1,JAN,EDAK,Grossenhain,Germany,1,4.337652987760979,4.337652987760979,80,80,2920.833333333333,0,0,7.148135,7.148135,,,,,,,,,,,Grossenhain (EDAK)
