YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2018,01,JAN,LOWW,Vienna,Austria,8514,7449,49,7400,80204.0741666667,23027.0591666667,
2018,01,JAN,EBBR,Brussels,Belgium,8528,6877,110,6767,74294.4066666667,19771.2266666667,
2018,01,JAN,EBCI,Charleroi,Belgium,2195,1516,32,1484,15732.6158333333,3432.250833333333,
2018,01,JAN,LBSF,Sofia,Bulgaria,2229,1750,10,1740,18554.5191666667,4936.514166666666,
2018,01,JAN,LDZA,Zagreb,Croatia,1517,1240,8,1232,13525.35,3288.816666666666,
2018,01,JAN,LKPR,Prague,Czech Republic,4968,4243,59,4184,47202.41,11438.806666666702,
2018,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9442,7837,392,7445,84392.9008333333,19860.3325,
2018,01,JAN,EETN,Tallinn,Estonia,1613,942,31,911,9181.833333333334,2442.933333333333,
2018,01,JAN,EFHK,Helsinki - Vantaa,Finland,7748,5242,134,5108,53878.628333333305,15080.4216666667,
2018,01,JAN,LFBO,Toulouse-Blagnac,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4183,3641,6,3635,41034.6833333333,8694.833333333334,
2018,01,JAN,LFML,Marseille-Provence,France,,,,,,,NO DATA RECEIVED
2018,01,JAN,LFMN,Nice-Côte d’Azur,France,4120,3622,117,3505,40206.14,15315.126666666702,
2018,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,18590,15193,115,15078,195457.2816666666,40563.168333333306,
2018,01,JAN,LFPO,Paris-Orly,France,8802,7757,232,7525,96157.74,25012.56,
2018,01,JAN,LFSB,Bâle-Mulhouse,France,2467,1970,41,1929,21794.5975,5647.6025,
2018,01,JAN,EDDB,Berlin - Brandenburg,Germany,3697,2979,90,2889,34079.3525,6211.330833333333,
2018,01,JAN,EDDC,Dresden,Germany,,,,,,,NO DATA RECEIVED
2018,01,JAN,EDDE,Erfurt,Germany,204,43,35,8,81.33333333333333,19.29999999999999,
2018,01,JAN,EDDF,Frankfurt,Germany,18346,16293,122,16171,200441.4508333333,56270.0658333333,
2018,01,JAN,EDDG,Muenster-Osnabrueck,Germany,1171,315,17,298,3286.8291666666664,872.4541666666671,
2018,01,JAN,EDDH,Hamburg,Germany,5358,4732,36,4696,56643.834166666704,14806.7991666667,
2018,01,JAN,EDDK,Cologne-Bonn,Germany,4960,3146,80,3066,35123.61,8432.673333333334,
2018,01,JAN,EDDL,Dusseldorf,Germany,7402,6314,0,6314,71518.0391666667,19127.3275,
2018,01,JAN,EDDM,Munich,Germany,15217,13698,0,13698,167016.1641666666,37856.9358333333,
2018,01,JAN,EDDN,Nuremberg,Germany,2212,1327,19,1308,14958.89,3291.61,
2018,01,JAN,EDDP,Leipzig-Halle,Germany,2861,1122,206,916,10279.875,2234.558333333333,
2018,01,JAN,EDDR,Saarbruecken,Germany,314,209,33,176,1723.366666666666,616.4666666666672,
2018,01,JAN,EDDS,Stuttgart,Germany,4544,3363,0,3363,37550.2616666667,7292.271666666666,
2018,01,JAN,EDDV,Hanover,Germany,2429,1601,53,1548,16438.026666666698,4086.473333333333,
