YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2020,01,JAN,LOWW,Vienna,Austria,10326,8744,278,8466,94381.1333333333,28337.4833333333,
2020,01,JAN,EBBR,Brussels,Belgium,8435,6867,93,6774,74259.77750000001,18864.4558333333,
2020,01,JAN,EBCI,Charleroi,Belgium,2430,1622,14,1608,17385.718333333298,3684.131666666666,
2020,01,JAN,LBSF,Sofia,Bulgaria,2392,1903,37,1866,20056.3658333333,5524.950833333333,
2020,01,JAN,LDZA,Zagreb,Croatia,1557,1308,16,1292,14367.1258333333,3761.490833333333,
2020,01,JAN,LKPR,Prague,Czech Republic,5063,4400,10,4390,49156.01666666671,12090.466666666702,
2020,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,9545,7888,34,7854,89838.7708333333,21287.2791666667,
2020,01,JAN,EETN,Tallinn,Estonia,1631,987,6,981,9810.233333333334,3480.899999999999,
2020,01,JAN,EFHK,Helsinki - Vantaa,Finland,8221,5576,217,5359,57555.55666666671,14530.1933333333,
2020,01,JAN,LFBO,Toulouse-Blagnac,France,3498,3003,54,2949,34008.6425,6345.574166666666,
2020,01,JAN,LFLL,Lyon-Saint-Exupéry,France,4341,3787,77,3710,41704.645,9188.521666666666,
2020,01,JAN,LFML,Marseille-Provence,France,4117,3221,138,3083,27303.355833333302,10604.7775,
2020,01,JAN,LFMN,Nice-Côte d’Azur,France,4217,3803,0,3803,43677.450000000004,11610.9,
2020,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,19405,15570,108,15462,205746.0424999999,40858.9075,
2020,01,JAN,LFPO,Paris-Orly,France,8609,7475,64,7411,94210.2066666667,19944.81,
2020,01,JAN,LFSB,Bâle-Mulhouse,France,2520,1991,3,1988,22336.0166666667,4866.3,
2020,01,JAN,EDDB,Berlin - Brandenburg,Germany,3240,2482,2,2480,29225.6641666667,5178.185833333333,
2020,01,JAN,EDDC,Dresden,Germany,725,635,31,604,6781.561666666666,1549.321666666666,
2020,01,JAN,EDDE,Erfurt,Germany,287,41,41,0,,,NO REF FLIGHT
2020,01,JAN,EDDF,Frankfurt,Germany,18146,16293,25,16268,204177.0733333333,53322.060000000005,
2020,01,JAN,EDDG,Muenster-Osnabrueck,Germany,1029,411,25,386,4310.727499999999,1077.289166666666,
2020,01,JAN,EDDH,Hamburg,Germany,5248,4787,28,4759,59477.6791666667,12978.0708333333,
2020,01,JAN,EDDK,Cologne-Bonn,Germany,4989,3234,15,3219,36644.5975,7632.169166666666,
2020,01,JAN,EDDL,Dusseldorf,Germany,7867,6967,2,6965,78664.65583333331,19735.7275,
2020,01,JAN,EDDM,Munich,Germany,15409,13703,0,13703,164389.2633333333,42523.07,
2020,01,JAN,EDDN,Nuremberg,Germany,2147,1301,0,1301,14932.8875,2768.979166666666,
2020,01,JAN,EDDP,Leipzig-Halle,Germany,2836,1149,59,1090,12639.9625,2385.420833333333,
2020,01,JAN,EDDR,Saarbruecken,Germany,263,139,46,93,901.635,324.96500000000003,
2020,01,JAN,EDDS,Stuttgart,Germany,4928,3741,0,3741,43082.8858333333,7656.830833333333,
2020,01,JAN,EDDV,Hanover,Germany,2461,1623,71,1552,16704.7491666667,3971.400833333333,
2020,01,JAN,EDDW,Bremen,Germany,1299,843,44,799,9364.566666666666,1878.616666666666,
2020,01,JAN,LGAV,Athens,Greece,6817,5673,19,5654,64115.4333333333,16832.866666666698,
2020,01,JAN,LHBP,Budapest - Ferihegy,Hungary,4800,3716,24,3692,45195.19666666671,10962.5533333333,
2020,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2020,01,JAN,EICK,Cork,Ireland,1813,575,66,509,5607.443333333333,1017.5400000000001,
2020,01,JAN,EIDW,Dublin,Ireland,8333,6922,237,6685,70463.55,23149.0166666667,
2020,01,JAN,LICC,Catania,Italy,2283,2003,12,1991,21219.9816666667,6447.068333333333,
2020,01,JAN,LIMC,Milan - Malpensa,Italy,7831,6493,7,6486,70296.95999999999,19457.09,
2020,01,JAN,LIME,Bergamo,Italy,3771,2945,22,2923,34779.0683333333,8790.465,
2020,01,JAN,LIMF,Torino Caselle,Italy,,,,,,,NO PREVIOUS RSLT
2020,01,JAN,LIML,Milan - Linate,Italy,4575,3984,0,3984,40232.5291666667,10159.7208333333,
2020,01,JAN,LIPE,Bologna,Italy,,,,,,,NO PREVIOUS RSLT
2020,01,JAN,LIPZ,Venice,Italy,2783,2362,6,2356,23930.8116666667,6923.4383333333335,
2020,01,JAN,LIRA,Rome - Ciampino,Italy,,,,,,,DATA ISSUE
2020,01,JAN,LIRF,Rome - Fiumicino,Italy,10596,9488,0,9488,100300.4941666666,24485.7058333333,
2020,01,JAN,LIRN,Naples,Italy,2547,2122,25,2097,22364.16,5052.389999999999,
2020,01,JAN,EVRA,Riga,Latvia,3053,2340,1,2339,26209.5516666667,6001.5650000000005,
2020,01,JAN,ELLX,Luxembourg,Luxembourg,3201,2322,1,2321,26026.030833333298,6259.135833333333,
2020,01,JAN,LMML,Malta,Malta,2459,1524,22,1502,15665.728333333302,4232.054999999999,
2020,01,JAN,GMMN,Mohammed V International,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,GMMX,Menara,Morocco,,,,,,,NO DATA RECEIVED
2020,01,JAN,EHAM,Amsterdam - Schiphol,Netherlands,19435,17082,13,17069,208731.1,51227.6833333333,
2020,01,JAN,ENBR,Bergen,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENGM,Oslo - Gardermoen,Norway,9774,8541,15,8526,97767.3358333333,23483.964166666698,
2020,01,JAN,ENVA,Trondheim,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,ENZV,Stavanger,Norway,,,,,,,NO DATA RECEIVED
2020,01,JAN,EPWA,Warszawa - Chopina,Poland,7778,6466,3,6463,73789.41500000001,22469.3683333333,
2020,01,JAN,LPFR,Faro,Portugal,944,827,37,790,9016.83,1200.136666666666,
2020,01,JAN,LPPR,Porto,Portugal,3598,3014,12,3002,36713.5891666667,8675.694166666666,
2020,01,JAN,LPPT,Lisbon,Portugal,8363,6986,38,6948,87848.36,30946.3566666667,
2020,01,JAN,LROP,Bucharest - Otopeni,Romania,4695,3286,26,3260,35253.2175,9500.715833333334,
2020,01,JAN,LZIB,Bratislava,Slovakia,799,551,28,523,5531.735000000001,1592.581666666666,
2020,01,JAN,LJLJ,Ljubljana,Slovenia,924,635,2,633,6822.719166666666,2017.564166666666,
2020,01,JAN,GCFV,Fuerteventura,Spain,1770,1712,81,1631,19051.506666666697,4064.859999999999,
2020,01,JAN,GCLP,Gran Canaria,Spain,5148,3898,62,3836,47414.6658333333,12559.9341666667,
2020,01,JAN,GCRR,Lanzarote,Spain,2233,2122,61,2061,24809.25,4434.999999999999,
2020,01,JAN,GCTS,Tenerife Sur - Reina Sofia,Spain,2891,2554,17,2537,30192.915,6702.051666666666,
2020,01,JAN,GCXO,Tenerife North,Spain,2942,1387,0,1387,14944.86,2905.2400000000002,
2020,01,JAN,LEAL,Alicante,Spain,2687,2388,53,2335,27728.5733333333,5696.226666666666,
2020,01,JAN,LEBB,Bilbao,Spain,1626,1280,48,1232,12745.733333333299,4543.5999999999995,
2020,01,JAN,LEBL,Barcelona,Spain,11628,9621,354,9267,111549.13166666661,28270.1516666667,
2020,01,JAN,LEIB,Ibiza,Spain,1050,698,0,698,7979.166666666666,1745.0500000000002,
2020,01,JAN,LEMD,Madrid - Barajas,Spain,16470,13914,12,13902,164975.99499999988,41391.838333333304,
2020,01,JAN,LEMG,Málaga,Spain,4151,3407,12,3395,40894.3108333333,9283.1725,
2020,01,JAN,LEPA,Palma de Mallorca,Spain,3818,2798,11,2787,32768.76500000001,4395.551666666665,
2020,01,JAN,LEVC,Valencia,Spain,2625,2157,0,2157,25308.9208333333,4912.545833333333,
2020,01,JAN,LEZL,Sevilla,Spain,2292,1882,0,1882,21373.0616666667,4441.6050000000005,
2020,01,JAN,ESGG,Göteborg,Sweden,2487,2009,40,1969,21886.1275,5412.172500000001,
2020,01,JAN,ESSA,Stockholm - Arlanda,Sweden,8360,7207,0,7207,82856.5341666667,20356.4658333333,
2020,01,JAN,LSGG,Geneva,Switzerland,7699,6667,0,6667,78289.5666666667,26064.65,
2020,01,JAN,LSZH,Zürich,Switzerland,10277,8783,33,8750,103019.64416666659,31815.4225,
2020,01,JAN,LTFM,Istanbul,Türkiye,,,,,,,NO DATA RECEIVED
2020,01,JAN,EGBB,Birmingham,United Kingdom,3665,3213,0,3213,39595.735,8183.331666666666,
2020,01,JAN,EGCC,Manchester,United Kingdom,6588,5585,7,5578,67256.65083333329,20125.1658333333,
2020,01,JAN,EGGD,Bristol,United Kingdom,2375,1920,11,1909,22067.4525,5062.2475,
2020,01,JAN,EGGW,London - Luton,United Kingdom,4893,3910,5,3905,50509.9625,9982.804166666667,
2020,01,JAN,EGKK,London - Gatwick,United Kingdom,9336,7762,13,7749,99734.0166666667,26863.85,
2020,01,JAN,EGLC,London - City,United Kingdom,3160,3031,111,2920,31397.5716666667,8434.828333333335,
2020,01,JAN,EGLL,London - Heathrow,United Kingdom,19024,16933,3,16930,233536.2583333333,128359.49166666661,
2020,01,JAN,EGNT,Newcastle,United Kingdom,1645,1206,5,1201,13818.1708333333,3090.3125,
2020,01,JAN,EGPD,Aberdeen,United Kingdom,1920,1711,0,1711,19041.333333333303,5773.466666666666,
2020,01,JAN,EGPF,Glasgow,United Kingdom,2758,2362,0,2362,28633.626666666696,6883.473333333333,
2020,01,JAN,EGPH,Edinburgh,United Kingdom,4578,3953,0,3953,48083.56,11767.9233333333,
2020,01,JAN,EGSS,London - Stansted,United Kingdom,7176,5700,5,5695,71686.6166666667,15984.7,
2020,02,FEB,LOWW,Vienna,Austria,9818,8380,1,8379,94587.5083333333,31385.7416666667,
2020,02,FEB,EBBR,Brussels,Belgium,8276,6625,88,6537,72133.3416666667,22615.4583333333,
2020,02,FEB,EBCI,Charleroi,Belgium,2342,1510,2,1508,16336.028333333301,4242.588333333333,
2020,02,FEB,LBSF,Sofia,Bulgaria,2254,1798,35,1763,19019.9141666667,4697.5025000000005,
2020,02,FEB,LDZA,Zagreb,Croatia,1491,1242,28,1214,13525.8383333333,3565.928333333333,
2020,02,FEB,LKPR,Prague,Czech Republic,4701,4130,1,4129,46455.7508333333,11595.6991666667,
2020,02,FEB,EKCH,Copenhagen - Kastrup,Denmark,9422,7812,26,7786,89307.5708333333,22643.5458333333,
2020,02,FEB,EETN,Tallinn,Estonia,1582,941,10,931,9315.215,3475.585,
2020,02,FEB,EFHK,Helsinki - Vantaa,Finland,7812,5255,40,5215,56200.768333333304,16012.2483333333,
2020,02,FEB,LFBO,Toulouse-Blagnac,France,3358,2881,58,2823,33600.384999999995,6333.531666666666,
2020,02,FEB,LFLL,Lyon-Saint-Exupéry,France,4309,3677,51,3626,40906.0833333333,8483.716666666665,
2020,02,FEB,LFML,Marseille-Provence,France,3889,3019,85,2934,25935.552499999998,10094.7641666667,
2020,02,FEB,LFMN,Nice-Côte d’Azur,France,4072,3669,0,3669,42541.4833333333,12713.8333333333,
2020,02,FEB,LFPG,Paris-Charles-de-Gaulle,France,18500,14641,120,14521,191828.86000000002,42189.7233333333,
2020,02,FEB,LFPO,Paris-Orly,France,8092,6960,905,6055,79306.1633333333,17798.0866666667,
2020,02,FEB,LFSB,Bâle-Mulhouse,France,2553,1987,33,1954,22256.2558333333,5431.527499999999,
2020,02,FEB,EDDB,Berlin - Brandenburg,Germany,3240,2484,2,2482,29346.396666666697,5769.719999999999,
2020,02,FEB,EDDC,Dresden,Germany,735,644,36,608,6835.067499999999,1648.8824999999993,
2020,02,FEB,EDDE,Erfurt,Germany,328,49,49,0,,,NO REF FLIGHT
2020,02,FEB,EDDF,Frankfurt,Germany,17930,16097,40,16057,198292.8191666666,63246.7975,
2020,02,FEB,EDDG,Muenster-Osnabrueck,Germany,1055,416,14,402,4481.033333333333,1287.9333333333332,
2020,02,FEB,EDDH,Hamburg,Germany,5117,4534,26,4508,56320.7233333333,14258.11,
2020,02,FEB,EDDK,Cologne-Bonn,Germany,4789,2991,48,2943,32242.464166666698,8888.6525,
2020,02,FEB,EDDL,Dusseldorf,Germany,7488,6571,2,6569,74066.56,21498.806666666696,
2020,02,FEB,EDDM,Munich,Germany,14826,13119,0,13119,158395.2941666666,45764.5891666667,
2020,02,FEB,EDDN,Nuremberg,Germany,2071,1216,0,1216,14433.5183333333,3160.398333333333,
2020,02,FEB,EDDP,Leipzig-Halle,Germany,2813,1135,45,1090,12761.882500000002,2753.6175000000003,
2020,02,FEB,EDDR,Saarbruecken,Germany,251,129,38,91,881.183333333333,289.26666666666705,
2020,02,FEB,EDDS,Stuttgart,Germany,4828,3586,0,3586,40779.270000000004,9258.380000000001,
2020,02,FEB,EDDV,Hanover,Germany,2436,1567,74,1493,16113.4908333333,4132.725833333333,
2020,02,FEB,EDDW,Bremen,Germany,1377,821,39,782,9160.59,1939.876666666666,
2020,02,FEB,LGAV,Athens,Greece,6209,5093,22,5071,57062.3291666667,14766.020833333301,
2020,02,FEB,LHBP,Budapest - Ferihegy,Hungary,4442,3527,46,3481,43105.668333333306,8905.748333333335,
2020,02,FEB,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
