YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2024,01,JAN,LOWW,Vienna,Austria,8052,7114,345,6769,49433.5,15057.5,
2024,01,JAN,EBBR,Brussels,Belgium,6673,6469,215,6254,51904.700000000004,18331.3,
2024,01,JAN,EBCI,Charleroi,Belgium,2890,2885,12,2873,22625,8756,
2024,01,JAN,LBSF,Sofia,Bulgaria,2399,1995,97,1898,17939,6136,
2024,01,JAN,LDZA,Zagreb,Croatia,1776,1776,73,1703,11652,6208,
2024,01,JAN,LKPR,Prague,Czech Republic,3900,3235,135,3100,23164.4,7464.6,
2024,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,7745,6072,415,5657,49561.46,15250.9733333333,
2024,01,JAN,EETN,Tallinn,Estonia,1393,1347,134,1213,7086.5,4620.5,
2024,01,JAN,EFHK,Helsinki - Vantaa,Finland,5842,5796,460,5336,32648.383333333302,41618.4333333333,
2024,01,JAN,LFBO,Toulouse-Blagnac,France,2362,2362,257,2105,15902.800000000001,4677.2,
2024,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3292,3278,155,3123,23529.100000000002,7615.9000000000005,
2024,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2024,01,JAN,LFMN,Nice-Côte d’Azur,France,3833,3833,393,3440,25962.2,7686.8,
2024,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,15984,14247,1501,12746,144886.80000000002,45522.76666666671,
2024,01,JAN,LFPO,Paris-Orly,France,6730,6725,272,6453,52340.3,18713.7,
2024,01,JAN,LFSB,Bâle-Mulhouse,France,2672,2538,72,2466,19651,9695,
2024,01,JAN,EDDB,Berlin - Brandenburg,Germany,5992,5177,223,4954,38003.8633333333,12726.12,
2024,01,JAN,EDDC,Dresden,Germany,333,278,23,255,1695.6000000000001,456.40000000000003,
2024,01,JAN,EDDE,Erfurt,Germany,166,108,33,75,286,163,
2024,01,JAN,EDDF,Frankfurt,Germany,15567,14672,666,14006,147188.1433333333,51229.70666666671,
2024,01,JAN,EDDG,Muenster-Osnabrueck,Germany,662,661,97,564,2175.381666666666,1964.635,
2024,01,JAN,EDDH,Hamburg,Germany,3864,3783,197,3586,23972.846666666697,8279.103333333334,
2024,01,JAN,EDDK,Cologne-Bonn,Germany,3720,3571,538,3033,29663.940000000002,9484.11,
2024,01,JAN,EDDL,Dusseldorf,Germany,4721,4118,131,3987,35245.38,10048.403333333299,
2024,01,JAN,EDDM,Munich,Germany,10874,8598,278,8320,73923.7,22439.3,
2024,01,JAN,EDDN,Nuremberg,Germany,1705,1294,83,1211,9455.318333333335,2897.7816666666663,
2024,01,JAN,EDDP,Leipzig-Halle,Germany,2906,1980,222,1758,18036.806666666696,6232.926666666666,
2024,01,JAN,EDDR,Saarbruecken,Germany,120,117,10,107,337,305,
2024,01,JAN,EDDS,Stuttgart,Germany,3016,2301,48,2253,18804.565000000002,5520.884999999999,
2024,01,JAN,EDDV,Hanover,Germany,1974,1438,173,1265,8956.013333333334,3181.986666666666,
