YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2023,01,JAN,LOWW,Vienna,Austria,7721,6740,323,6417,45205.700000000004,13915.300000000001,
2023,01,JAN,EBBR,Brussels,Belgium,6472,6328,264,6064,48260.4,17178.6,
2023,01,JAN,EBCI,Charleroi,Belgium,2373,2371,17,2354,18310.600000000002,9365.4,
2023,01,JAN,LBSF,Sofia,Bulgaria,2198,1860,113,1747,15970.6,5547.4000000000005,
2023,01,JAN,LDZA,Zagreb,Croatia,1628,1625,59,1566,10501,5119,
2023,01,JAN,LKPR,Prague,Czech Republic,3197,2614,112,2502,16309,6127,
2023,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,7715,7713,458,7255,60236.5833333333,21482.75,
2023,01,JAN,EETN,Tallinn,Estonia,1328,1283,81,1202,7064,4037,
2023,01,JAN,EFHK,Helsinki - Vantaa,Finland,5760,5708,339,5369,31661.1116666667,39757.738333333305,
2023,01,JAN,LFBO,Toulouse-Blagnac,France,2660,2659,131,2528,17704.3,6364.7,
2023,01,JAN,LFLL,Lyon-Saint-Exupéry,France,3112,3093,113,2980,21689,6890,
2023,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2023,01,JAN,LFMN,Nice-Côte d’Azur,France,3767,3767,191,3576,26747.100000000002,5083.9000000000005,
2023,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,16783,16065,2679,13386,145481.30000000002,44299.700000000004,
2023,01,JAN,LFPO,Paris-Orly,France,7436,7426,149,7277,58316.5,22137.5,
2023,01,JAN,LFSB,Bâle-Mulhouse,France,2327,2303,98,2205,15800.4,7838.6,
2023,01,JAN,EDDB,Berlin - Brandenburg,Germany,5516,5058,280,4778,36268.7483333333,11203.435,
2023,01,JAN,EDDC,Dresden,Germany,383,318,27,291,2042,433,
2023,01,JAN,EDDE,Erfurt,Germany,102,66,17,49,176,112,
2023,01,JAN,EDDF,Frankfurt,Germany,14878,14439,677,13762,137258.3133333333,47955.1366666667,
2023,01,JAN,EDDG,Muenster-Osnabrueck,Germany,529,529,39,490,1937.6850000000002,1291.4649999999992,
2023,01,JAN,EDDH,Hamburg,Germany,3630,3541,171,3370,21070.2016666667,7255.798333333333,
2023,01,JAN,EDDK,Cologne-Bonn,Germany,3750,3652,558,3094,28931.754999999997,8794.261666666665,
2023,01,JAN,EDDL,Dusseldorf,Germany,4378,4083,171,3912,33333.378333333305,8882.755000000001,
2023,01,JAN,EDDM,Munich,Germany,10187,8103,232,7871,68893.1,19982.9,
2023,01,JAN,EDDN,Nuremberg,Germany,1493,1154,60,1094,8459.84,2496.76,
2023,01,JAN,EDDP,Leipzig-Halle,Germany,3104,2458,241,2217,22574.5016666667,8415.881666666666,
2023,01,JAN,EDDR,Saarbruecken,Germany,118,116,15,101,312,336,
2023,01,JAN,EDDS,Stuttgart,Germany,2696,2087,53,2034,17112.5616666667,3938.038333333333,
2023,01,JAN,EDDV,Hanover,Germany,1691,1350,174,1176,7779.213333333333,2684.586666666666,
2023,01,JAN,EDDW,Bremen,Germany,882,709,89,620,3864.323333333333,1268.76,
2023,01,JAN,LGAV,Athens,Greece,6858,6836,304,6532,49412.200000000004,20034.8,
2023,01,JAN,LHBP,Budapest - Ferihegy,Hungary,3617,3612,238,3374,26844.715,8247.385,
2023,01,JAN,BIKF,Keflavik,Iceland,,,,,,,NO DATA RECEIVED
2023,01,JAN,EICK,Cork,Ireland,1403,1110,26,1084,4978,2400,
2023,01,JAN,EIDW,Dublin,Ireland,8490,8451,576,7875,73620.8,26100.2,
2023,01,JAN,LICC,Catania,Italy,2311,2311,8,2303,17861,6140,
2023,01,JAN,LIMC,Milan - Malpensa,Italy,6815,6465,441,6024,64526.52666666671,21686.056666666696,
2023,01,JAN,LIME,Bergamo,Italy,3839,3838,144,3694,33112.8,13424.2,
2023,01,JAN,LIMF,Torino Caselle,Italy,1738,1735,31,1704,9870.4,4763.6,
2023,01,JAN,LIML,Milan - Linate,Italy,4149,3955,4,3951,34296.866666666705,17050.4333333333,
2023,01,JAN,LIPE,Bologna,Italy,2323,2321,65,2256,20387.126666666696,6894.490000000001,
2023,01,JAN,LIPZ,Venice,Italy,2557,2552,25,2527,21577.100000000002,7193.9000000000005,
2023,01,JAN,LIRA,Rome - Ciampino,Italy,1578,1576,831,745,6492.6,2307.4,
2023,01,JAN,LIRF,Rome - Fiumicino,Italy,8456,8439,317,8122,90981.5,42170.5,
2023,01,JAN,LIRN,Naples,Italy,2369,2362,63,2299,15040.300000000001,6607.7,
2023,01,JAN,EVRA,Riga,Latvia,2171,1758,110,1648,11992.4,4802.6,
2023,01,JAN,ELLX,Luxembourg,Luxembourg,2703,2478,14,2464,19620.600000000002,8407.4,
