YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,TF,VALID_FL,NO_REF,TOTAL_REF_NB_FL,TOTAL_REF_TIME_MIN,TOTAL_ADD_TIME_MIN,COMMENT
2022,01,JAN,LOWW,Vienna,Austria,5461,4806,206,4600,30296.9,10429.1,
2022,01,JAN,EBBR,Brussels,Belgium,5220,5175,277,4898,37851.1,12359.9,
2022,01,JAN,EBCI,Charleroi,Belgium,1856,1853,19,1834,12770.7,4703.3,
2022,01,JAN,LBSF,Sofia,Bulgaria,1742,1397,90,1307,11858.300000000001,3972.7000000000003,
2022,01,JAN,LDZA,Zagreb,Croatia,1386,1386,74,1312,8087,4738,
2022,01,JAN,LKPR,Prague,Czech Republic,2606,2228,233,1995,12363.800000000001,3896.2000000000003,
2022,01,JAN,EKCH,Copenhagen - Kastrup,Denmark,5805,5800,629,5171,42148.7133333333,15140.57,
2022,01,JAN,EETN,Tallinn,Estonia,1289,1245,80,1165,6315,3918,
2022,01,JAN,EFHK,Helsinki - Vantaa,Finland,4836,4785,1340,3445,19598.815000000002,34653.768333333304,
2022,01,JAN,LFBO,Toulouse-Blagnac,France,1895,1892,386,1506,10081.1,3270.9,
2022,01,JAN,LFLL,Lyon-Saint-Exupéry,France,2227,2203,164,2039,13722.4,4930.6,
2022,01,JAN,LFML,Marseille-Provence,France,,,,,,,DATA ISSUE
2022,01,JAN,LFMN,Nice-Côte d’Azur,France,3190,3190,187,3003,19903.5,3727.5,
2022,01,JAN,LFPG,Paris-Charles-de-Gaulle,France,12632,12014,1594,10420,113257.1,33076.9,
2022,01,JAN,LFPO,Paris-Orly,France,5587,5582,231,5351,40944.6,12927.4,
2022,01,JAN,LFSB,Bâle-Mulhouse,France,2177,2132,157,1975,12818.2,8624.8,
2022,01,JAN,EDDB,Berlin - Brandenburg,Germany,4542,4497,315,4182,30521.0716666667,7959.695000000001,
2022,01,JAN,EDDC,Dresden,Germany,214,192,12,180,1163,302,
2022,01,JAN,EDDE,Erfurt,Germany,133,101,31,70,255,167,
2022,01,JAN,EDDF,Frankfurt,Germany,12339,11949,1159,10790,106683.45999999989,31369.3566666667,
2022,01,JAN,EDDG,Muenster-Osnabrueck,Germany,474,470,38,432,1542,1314,
